Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.112,0.00,270.00,91.73,320832.6602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.207,0.00,270.00,87.37,320832.6602,4039046.5139,52,293.83,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.044,0.044,0.8162,6.5290,0.0000
0.318,0.00,270.00,70.09,320832.6602,4039046.5139,52,703.80,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.216,0.216,1.9550,11.3881,0.0000
0.412,0.00,270.00,45.57,320832.6602,4039046.5139,52,1045.62,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.462,0.462,2.9045,9.4949,0.0000
0.506,-0.01,269.44,17.63,320832.6601,4039046.5195,52,715.24,-89.9998,0.7133,0.0070,-0.0000,0.0000,0.741,0.741,1.9868,-9.1772,9.1772
0.601,-0.00,269.87,21.08,320832.6601,4039046.5152,52,427.85,-89.9999,0.3556,0.0078,-0.0000,0.0000,0.776,0.706,1.1885,-7.9830,7.9830
0.711,0.00,270.42,28.62,320832.6602,4039046.5097,52,106.51,-90.0005,-0.3333,0.0020,-0.0000,0.0000,0.851,0.631,0.2959,-8.9262,8.9262
0.811,0.01,270.34,26.44,320832.6603,4039046.5105,52,166.37,-90.0007,-0.2969,0.0019,-0.0000,0.0000,0.873,0.653,0.4621,1.6630,0.0000
0.911,0.01,270.03,23.95,320832.6603,4039046.5136,52,8.46,-90.0008,0.3604,0.0030,-0.0000,0.0000,0.898,0.678,0.0235,-4.3864,4.3864
1.011,0.01,270.23,25.20,320832.6603,4039046.5116,52,41.24,-90.0008,0.1170,0.0021,-0.0000,0.0000,0.911,0.665,0.1145,0.9104,0.0000
1.111,0.02,270.21,25.38,320832.6603,4039046.5118,52,11.22,-90.0008,0.0897,0.0017,-0.0000,0.0000,0.913,0.663,0.0312,-0.8338,0.8338
1.211,0.02,270.18,25.09,320832.6604,4039046.5121,52,5.32,-90.0008,0.1295,0.0019,-0.0000,0.0000,0.916,0.666,0.0148,-0.1640,0.1640
1.311,0.02,270.19,25.13,320832.6604,4039046.5120,52,3.50,-90.0008,0.1236,0.0019,-0.0000,0.0000,0.916,0.666,0.0097,-0.0506,0.0506
1.411,0.02,270.19,25.15,320832.6604,4039046.5120,52,0.00,-90.0008,0.1213,0.0019,-0.0000,0.0000,0.916,0.666,0.0000,-0.0971,0.0971
1.511,0.02,270.20,25.16,320832.6604,4039046.5120,52,0.01,-90.0008,0.1211,0.0019,-0.0000,0.0000,0.916,0.666,0.0000,0.0003,0.0000
1.600,0.02,270.20,25.16,320832.6604,4039046.5120,52,0.00,-90.0008,0.1211,0.0019,-0.0000,0.0000,0.916,0.666,0.0000,-0.0003,0.0003
1.703,0.02,270.20,25.44,320832.6604,4039046.5119,52,0.84,-90.0008,0.1176,0.0026,-0.0000,0.0000,0.919,0.663,0.0023,0.0234,0.0000
1.801,0.02,270.20,25.32,320832.6604,4039046.5120,52,5.51,-90.0008,0.1201,0.0025,-0.0000,0.0000,0.920,0.664,0.0153,0.1298,0.0000
1.905,0.02,270.20,25.36,320832.6604,4039046.5119,52,6.45,-90.0007,0.1194,0.0030,-0.0000,0.0000,0.921,0.664,0.0179,0.0261,0.0000
2.005,0.02,270.19,25.23,320832.6604,4039046.5120,52,9.24,-90.0008,0.1210,0.0021,-0.0000,0.0000,0.922,0.665,0.0257,0.0774,0.0000
2.105,0.02,270.19,25.10,320832.6604,4039046.5120,52,0.24,-90.0008,0.1229,0.0019,-0.0000,0.0000,0.923,0.666,0.0007,-0.2499,0.2499
2.205,0.02,270.20,25.14,320832.6604,4039046.5120,52,0.68,-90.0008,0.1213,0.0019,-0.0000,0.0000,0.924,0.666,0.0019,0.0122,0.0000
2.305,0.02,270.20,25.15,320832.6604,4039046.5120,52,0.12,-90.0008,0.1210,0.0019,-0.0000,0.0000,0.924,0.666,0.0003,-0.0156,0.0156
2.405,0.02,270.20,25.16,320832.6604,4039046.5120,52,0.02,-90.0008,0.1210,0.0019,-0.0000,0.0000,0.924,0.666,0.0001,-0.0029,0.0029
2.505,0.02,270.20,25.16,320832.6604,4039046.5120,52,0.00,-90.0008,0.1210,0.0019,-0.0000,0.0000,0.924,0.666,0.0000,-0.0005,0.0005
2.605,0.02,270.20,25.16,320832.6604,4039046.5120,52,0.00,-90.0008,0.1210,0.0019,-0.0000,0.0000,0.924,0.666,0.0000,0.0000,0.0000
2.705,0.02,270.20,25.16,320832.6604,4039046.5120,52,0.00,-90.0008,0.1210,0.0019,-0.0000,0.0000,0.924,0.666,0.0000,-0.0000,0.0000
2.805,0.02,270.20,25.16,320832.6604,4039046.5120,52,0.00,-90.0008,0.1210,0.0019,-0.0000,0.0000,0.924,0.666,0.0000,0.0001,0.0000
2.905,0.02,270.20,25.16,320832.6604,4039046.5120,52,0.00,-90.0008,0.1210,0.0019,-0.0000,0.0000,0.924,0.666,0.0000,0.0000,0.0000
3.013,0.02,270.20,25.27,320832.6604,4039046.5119,52,12.73,-90.0007,0.1200,0.0029,-0.0000,0.0000,0.925,0.665,0.0354,0.3535,0.0000
3.110,0.02,270.20,25.39,320832.6604,4039046.5119,52,1.83,-90.0007,0.1182,0.0024,-0.0000,0.0000,0.926,0.663,0.0051,-0.3026,0.3026
3.208,0.02,270.20,25.31,320832.6604,4039046.5120,52,0.00,-90.0007,0.1200,0.0025,-0.0000,0.0000,0.927,0.664,0.0000,-0.0509,0.0509
3.311,0.02,270.20,25.33,320832.6604,4039046.5119,52,1.52,-90.0007,0.1195,0.0026,-0.0000,0.0000,0.927,0.664,0.0042,0.0423,0.0000
