Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.111,1610.00,270.00,91.73,320848.7602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.203,1610.00,270.00,85.74,320848.7602,4039046.5139,52,352.57,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.060,0.060,0.9794,8.1607,0.0000
0.303,1610.00,270.00,70.24,320848.7602,4039046.5139,52,704.82,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.215,0.215,1.9578,9.7845,0.0000
0.403,1610.00,270.00,44.96,320848.7602,4039046.5139,52,1056.71,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.468,0.468,2.9353,9.7747,0.0000
0.503,1609.99,269.92,15.81,320848.7601,4039046.5147,52,559.20,-89.9998,0.1011,0.0063,-0.0000,0.0000,0.759,0.759,1.5533,-13.8198,13.8198
0.603,1610.00,269.95,22.10,320848.7602,4039046.5144,52,447.71,-90.0001,0.1597,0.0064,-0.0000,0.0000,0.822,0.696,1.2436,-3.0968,3.0968
0.703,1610.00,270.21,29.25,320848.7602,4039046.5118,52,110.96,-90.0004,-0.0305,0.0019,-0.0000,0.0000,0.894,0.625,0.3082,-9.3541,9.3541
0.803,1610.01,270.35,26.75,320848.7603,4039046.5105,52,211.40,-90.0005,-0.0933,0.0009,-0.0000,0.0000,0.919,0.650,0.5872,2.7898,0.0000
0.903,1610.01,270.22,23.96,320848.7603,4039046.5117,52,6.89,-90.0005,0.1915,0.0030,-0.0000,0.0000,0.947,0.678,0.0191,-5.6808,5.6808
1.003,1610.01,270.30,25.13,320848.7603,4039046.5109,52,42.32,-90.0006,0.1305,0.0021,-0.0000,0.0000,0.958,0.666,0.1175,0.9842,0.0000
1.103,1610.01,270.30,25.39,320848.7603,4039046.5109,52,9.15,-90.0006,0.1051,0.0017,-0.0000,0.0000,0.961,0.663,0.0254,-0.9214,0.9214
1.203,1610.02,270.29,25.10,320848.7604,4039046.5110,52,5.97,-90.0005,0.1248,0.0019,-0.0000,0.0000,0.964,0.666,0.0166,-0.0883,0.0883
1.303,1610.02,270.29,25.12,320848.7604,4039046.5110,52,3.22,-90.0005,0.1229,0.0019,-0.0000,0.0000,0.964,0.666,0.0089,-0.0764,0.0764
1.401,1610.02,270.29,25.29,320848.7604,4039046.5110,52,15.68,-90.0005,0.1199,0.0031,-0.0000,0.0000,0.966,0.664,0.0435,0.3460,0.0000
1.522,1610.02,270.29,25.38,320848.7604,4039046.5110,52,5.93,-90.0005,0.1186,0.0024,-0.0000,0.0000,0.967,0.663,0.0165,-0.2706,0.2706
1.615,1610.02,270.29,25.27,320848.7604,4039046.5110,52,0.06,-90.0005,0.1208,0.0024,-0.0000,0.0000,0.968,0.665,0.0002,-0.1631,0.1631
1.704,1610.02,270.29,25.24,320848.7604,4039046.5110,52,1.97,-90.0005,0.1204,0.0021,-0.0000,0.0000,0.968,0.665,0.0055,0.0528,0.0000
1.804,1610.02,270.29,25.17,320848.7604,4039046.5110,52,0.49,-90.0005,0.1213,0.0019,-0.0000,0.0000,0.969,0.666,0.0014,-0.0411,0.0411
1.904,1610.02,270.29,25.16,320848.7604,4039046.5110,52,0.09,-90.0005,0.1212,0.0019,-0.0000,0.0000,0.969,0.666,0.0002,-0.0111,0.0111
2.004,1610.02,270.29,25.16,320848.7604,4039046.5110,52,0.01,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.969,0.666,0.0000,-0.0022,0.0022
