Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.125,0.00,270.00,91.73,320832.6602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.203,0.00,270.00,87.37,320832.6602,4039046.5139,52,293.83,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.044,0.044,0.8162,6.5290,0.0000
0.310,0.00,270.00,71.99,320832.6602,4039046.5139,52,672.68,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.197,0.197,1.8685,10.5235,0.0000
0.410,0.00,270.00,46.48,320832.6602,4039046.5139,52,1037.54,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.452,0.452,2.8821,10.1350,0.0000
0.510,-0.00,269.92,17.30,320832.6601,4039046.5147,52,616.40,-89.9999,0.1008,0.0057,-0.0000,0.0000,0.744,0.744,1.7122,-11.6984,11.6984
0.610,-0.00,269.93,21.77,320832.6601,4039046.5146,52,410.32,-90.0003,0.1740,0.0065,-0.0000,0.0000,0.789,0.700,1.1398,-5.7243,5.7243
0.710,0.00,270.17,28.34,320832.6602,4039046.5122,52,90.49,-90.0006,-0.0191,0.0016,-0.0000,0.0000,0.855,0.634,0.2514,-8.8842,8.8842
0.810,0.00,270.22,25.75,320832.6602,4039046.5117,52,161.11,-90.0007,-0.0053,0.0016,-0.0000,0.0000,0.881,0.660,0.4475,1.9615,0.0000
0.910,0.00,270.16,24.25,320832.6602,4039046.5123,52,17.06,-90.0008,0.1868,0.0027,-0.0000,0.0000,0.896,0.675,0.0474,-4.0012,4.0012
1.010,0.01,270.22,25.26,320832.6602,4039046.5117,52,27.16,-90.0008,0.1186,0.0019,-0.0000,0.0000,0.906,0.665,0.0754,0.2805,0.0000
1.110,0.01,270.21,25.31,320832.6603,4039046.5118,52,9.85,-90.0008,0.1104,0.0017,-0.0000,0.0000,0.906,0.664,0.0274,-0.4809,0.4809
1.210,0.01,270.21,25.10,320832.6603,4039046.5119,52,2.86,-90.0008,0.1251,0.0019,-0.0000,0.0000,0.908,0.666,0.0080,-0.1940,0.1940
1.308,0.01,270.21,25.37,320832.6603,4039046.5118,52,15.04,-90.0008,0.1193,0.0029,-0.0000,0.0000,0.911,0.664,0.0418,0.3382,0.0000
1.423,0.01,270.21,25.34,320832.6603,4039046.5118,52,3.36,-90.0008,0.1188,0.0025,-0.0000,0.0000,0.911,0.664,0.0093,-0.3246,0.3246
1.506,0.01,270.21,25.23,320832.6603,4039046.5118,52,5.65,-90.0008,0.1208,0.0021,-0.0000,0.0000,0.913,0.665,0.0157,0.0636,0.0000
1.620,0.01,270.21,25.25,320832.6603,4039046.5118,52,1.31,-90.0008,0.1203,0.0023,-0.0000,0.0000,0.913,0.665,0.0036,-0.1205,0.1205
1.703,0.01,270.21,25.20,320832.6603,4039046.5118,52,5.18,-90.0008,0.1210,0.0020,-0.0000,0.0000,0.913,0.665,0.0144,0.1075,0.0000
1.803,0.01,270.21,25.13,320832.6603,4039046.5118,52,0.14,-90.0008,0.1221,0.0019,-0.0000,0.0000,0.914,0.666,0.0004,-0.1400,0.1400
1.903,0.01,270.21,25.15,320832.6603,4039046.5118,52,0.00,-90.0008,0.1213,0.0019,-0.0000,0.0000,0.914,0.666,0.0000,-0.0038,0.0038
2.003,0.01,270.21,25.15,320832.6603,4039046.5118,52,0.01,-90.0008,0.1211,0.0019,-0.0000,0.0000,0.914,0.666,0.0000,0.0003,0.0000
2.103,0.01,270.21,25.16,320832.6603,4039046.5118,52,0.00,-90.0008,0.1211,0.0019,-0.0000,0.0000,0.914,0.666,0.0000,-0.0002,0.0002
