Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.171,0.00,270.00,91.73,320832.6602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.227,0.00,270.00,90.10,320832.6602,4039046.5139,52,176.33,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.016,0.016,0.4898,3.2650,0.0000
0.304,0.00,270.00,80.60,320832.6602,4039046.5139,52,494.30,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.111,0.111,1.3730,8.8323,0.0000
0.413,0.00,270.00,58.02,320832.6602,4039046.5139,52,889.17,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.337,0.337,2.4699,10.9687,0.0000
0.506,0.00,270.00,30.79,320832.6602,4039046.5139,52,1208.22,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.609,0.609,3.3562,8.8626,0.0000
0.617,-0.01,269.86,17.25,320832.6601,4039046.5153,52,275.55,-89.9998,0.2146,0.0101,-0.0000,0.0000,0.745,0.745,0.7654,-25.9076,25.9076
0.717,0.00,270.08,27.13,320832.6602,4039046.5131,52,234.35,-90.0003,0.0487,0.0028,-0.0000,0.0000,0.844,0.646,0.6510,-1.1445,1.1445
0.817,0.01,270.29,27.90,320832.6603,4039046.5110,52,118.53,-90.0005,-0.1067,0.0003,-0.0000,0.0000,0.852,0.638,0.3292,-3.2172,3.2172
0.917,0.01,270.16,24.05,320832.6603,4039046.5123,52,54.75,-90.0005,0.1678,0.0029,-0.0000,0.0000,0.890,0.677,0.1521,-1.7716,1.7716
1.017,0.01,270.23,24.86,320832.6603,4039046.5116,52,50.57,-90.0005,0.1525,0.0023,-0.0000,0.0000,0.898,0.669,0.1405,-0.1160,0.1160
1.117,0.02,270.25,25.44,320832.6603,4039046.5114,52,1.79,-90.0005,0.1019,0.0017,-0.0000,0.0000,0.904,0.663,0.0050,-1.3552,1.3552
1.217,0.02,270.23,25.14,320832.6604,4039046.5116,52,9.38,-90.0005,0.1220,0.0018,-0.0000,0.0000,0.907,0.666,0.0261,0.2110,0.0000
1.317,0.02,270.23,25.10,320832.6604,4039046.5116,52,2.61,-90.0005,0.1244,0.0019,-0.0000,0.0000,0.908,0.666,0.0072,-0.1882,0.1882
1.417,0.02,270.24,25.15,320832.6604,4039046.5116,52,1.03,-90.0005,0.1214,0.0019,-0.0000,0.0000,0.908,0.666,0.0029,-0.0438,0.0438
1.517,0.02,270.24,25.15,320832.6604,4039046.5116,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0287,0.0287
1.617,0.02,270.24,25.16,320832.6604,4039046.5116,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,0.0000,0.0000
1.717,0.02,270.24,25.16,320832.6604,4039046.5116,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
1.817,0.02,270.24,25.16,320832.6604,4039046.5116,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
1.917,0.02,270.24,25.16,320832.6604,4039046.5116,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
2.017,0.02,270.24,25.16,320832.6604,4039046.5116,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
2.117,0.02,270.24,25.16,320832.6604,4039046.5116,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,0.0000,0.0000
2.217,0.02,270.24,25.16,320832.6604,4039046.5116,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
