Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.109,0.00,270.00,91.73,320832.6602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.202,0.00,270.00,84.98,320832.6602,4039046.5139,52,374.92,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.067,0.067,1.0414,8.7814,0.0000
0.308,0.00,270.00,67.64,320832.6602,4039046.5139,52,746.47,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.241,0.241,2.0735,10.3209,0.0000
0.415,0.00,270.00,38.95,320832.6602,4039046.5139,52,1122.58,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.528,0.528,3.1183,10.4475,0.0000
0.503,-0.01,269.24,15.33,320832.6601,4039046.5215,52,411.50,-89.9998,1.0024,0.0083,-0.0000,0.0000,0.764,0.764,1.1430,-19.7525,19.7525
0.608,-0.00,270.04,23.57,320832.6601,4039046.5135,52,418.75,-90.0003,0.1835,0.0056,-0.0000,0.0000,0.847,0.682,1.1632,0.2015,0.0000
0.708,0.00,270.72,29.45,320832.6602,4039046.5067,52,67.98,-90.0007,-0.6005,0.0017,-0.0000,0.0000,0.906,0.623,0.1888,-9.7437,9.7437
0.808,0.00,270.67,26.81,320832.6602,4039046.5072,52,172.83,-90.0009,-0.5590,0.0021,-0.0000,0.0000,0.933,0.649,0.4801,2.9124,0.0000
0.908,0.00,270.23,23.97,320832.6602,4039046.5116,52,15.91,-90.0010,0.3494,0.0030,-0.0000,0.0000,0.961,0.678,0.0442,-4.3586,4.3586
1.008,0.00,270.45,25.11,320832.6602,4039046.5094,52,44.30,-90.0010,0.1514,0.0021,-0.0000,0.0000,0.973,0.666,0.1230,0.7884,0.0000
