Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw
3.803,240.01,220.02,25.60,320835.0603,4039047.0137,52,0.01,-0.0001
3.905,-199.72,-0.01,25.60,320830.6630,4039049.2140,52,0.00,179.9994
3.905,240.01,220.02,25.60,320835.0603,4039047.0137,52,0.00,-0.0001
4.004,-199.72,-0.01,25.58,320830.6630,4039049.2140,52,0.00,179.9994
4.004,240.01,220.02,25.58,320835.0603,4039047.0137,52,0.00,-0.0001
4.100,-199.72,-0.01,25.57,320830.6630,4039049.2140,52,0.01,179.9994
4.100,240.01,220.02,25.57,320835.0603,4039047.0137,52,0.01,-0.0001
4.206,-199.72,-0.01,25.57,320830.6630,4039049.2140,52,0.01,179.9994
4.206,240.01,220.02,25.57,320835.0603,4039047.0137,52,0.01,-0.0001
4.302,-199.72,-0.01,25.59,320830.6630,4039049.2140,52,0.00,179.9994
4.302,240.01,220.02,25.59,320835.0603,4039047.0137,52,0.00,-0.0001
4.401,-199.72,-0.01,25.58,320830.6630,4039049.2140,52,0.01,179.9994
4.401,240.01,220.02,25.58,320835.0603,4039047.0137,52,0.01,-0.0001
4.500,-199.72,-0.01,25.57,320830.6630,4039049.2140,52,0.00,179.9994
4.500,240.01,220.02,25.57,320835.0603,4039047.0137,52,0.00,-0.0001
4.602,-199.72,-0.01,25.58,320830.6630,4039049.2140,52,0.00,179.9994
4.602,240.01,220.02,25.58,320835.0603,4039047.0137,52,0.00,-0.0001
4.701,-199.72,-0.01,25.58,320830.6630,4039049.2140,52,0.01,179.9994
4.701,240.01,220.02,25.58,320835.0603,4039047.0137,52,0.01,-0.0001
