Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.130,1480.00,270.00,91.73,320847.4602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.210,1480.00,270.00,87.37,320847.4602,4039046.5139,52,293.83,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.044,0.044,0.8162,6.5290,0.0000
0.310,1480.00,270.00,73.17,320847.4602,4039046.5139,52,652.07,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.186,0.186,1.8113,9.9510,0.0000
0.410,1480.00,270.00,49.35,320847.4602,4039046.5139,52,1004.01,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.424,0.424,2.7889,9.7762,0.0000
0.510,1480.00,269.96,17.80,320847.4602,4039046.5143,52,918.07,-89.9999,0.0426,0.0033,-0.0000,0.0000,0.739,0.739,2.5502,-2.3874,2.3874
0.610,1480.00,269.92,20.09,320847.4601,4039046.5148,52,463.60,-90.0000,0.1871,0.0079,-0.0000,0.0000,0.762,0.716,1.2878,-12.6241,12.6241
0.710,1480.00,270.17,29.01,320847.4602,4039046.5122,52,176.89,-90.0003,-0.0080,0.0023,-0.0000,0.0000,0.852,0.627,0.4914,-7.9642,7.9642
0.810,1480.01,270.39,28.19,320847.4603,4039046.5100,52,175.94,-90.0005,-0.1557,0.0001,-0.0000,0.0000,0.860,0.635,0.4887,-0.0264,0.0264
0.910,1480.01,270.23,23.62,320847.4603,4039046.5117,52,48.23,-90.0005,0.1865,0.0032,-0.0000,0.0000,0.906,0.681,0.1340,-3.5474,3.5474
1.010,1480.01,270.31,24.90,320847.4603,4039046.5108,52,63.71,-90.0006,0.1546,0.0024,-0.0000,0.0000,0.919,0.668,0.1770,0.4300,0.0000
1.110,1480.01,270.34,25.51,320847.4603,4039046.5106,52,6.16,-90.0006,0.0975,0.0016,-0.0000,0.0000,0.925,0.662,0.0171,-1.5986,1.5986
1.210,1480.02,270.31,25.12,320847.4604,4039046.5108,52,10.84,-90.0006,0.1234,0.0019,-0.0000,0.0000,0.929,0.666,0.0301,0.1300,0.0000
1.310,1480.02,270.32,25.10,320847.4604,4039046.5107,52,3.82,-90.0006,0.1248,0.0019,-0.0000,0.0000,0.929,0.666,0.0106,-0.1951,0.1951
1.410,1480.02,270.32,25.15,320847.4604,4039046.5107,52,0.25,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.929,0.666,0.0007,-0.0993,0.0993
1.510,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.04,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.929,0.666,0.0001,-0.0058,0.0058
1.610,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.929,0.666,0.0000,-0.0010,0.0010
1.710,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.929,0.666,0.0000,0.0000,0.0000
1.805,1480.02,270.32,25.17,320847.4604,4039046.5107,52,2.93,-90.0005,0.1209,0.0021,-0.0000,0.0000,0.930,0.666,0.0081,0.0814,0.0000
1.917,1480.02,270.32,25.34,320847.4604,4039046.5107,52,2.05,-90.0006,0.1187,0.0022,-0.0000,0.0000,0.931,0.664,0.0057,-0.0243,0.0243
2.016,1480.02,270.32,25.24,320847.4604,4039046.5107,52,1.98,-90.0006,0.1207,0.0022,-0.0000,0.0000,0.932,0.665,0.0055,-0.0020,0.0020
2.116,1480.02,270.32,25.17,320847.4604,4039046.5107,52,0.49,-90.0006,0.1214,0.0019,-0.0000,0.0000,0.933,0.666,0.0014,-0.0414,0.0414
2.216,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.09,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0002,-0.0112,0.0112
2.316,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.01,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,-0.0021,0.0021
2.416,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,-0.0004,0.0004
2.516,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,0.0000,0.0000
2.616,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.01,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,0.0002,0.0000
2.716,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,-0.0001,0.0001
2.816,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,-0.0000,0.0000
2.916,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,-0.0000,0.0000
3.016,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,0.0000,0.0000
3.116,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,-0.0000,0.0000
3.216,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,0.0000,0.0000
3.316,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,-0.0000,0.0000
3.416,1480.02,270.32,25.16,320847.4604,4039046.5107,52,0.00,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.933,0.666,0.0000,-0.0000,0.0000
3.518,1480.02,270.32,25.35,320847.4604,4039046.5107,52,6.80,-90.0006,0.1188,0.0025,-0.0000,0.0000,0.935,0.664,0.0189,0.1888,0.0000
3.612,1480.02,270.32,25.33,320847.4604,4039046.5107,52,2.32,-90.0005,0.1193,0.0024,-0.0000,0.0000,0.935,0.664,0.0064,-0.1243,0.1243
3.705,1480.02,270.32,25.28,320847.4604,4039046.5107,52,1.10,-90.0005,0.1203,0.0024,-0.0000,0.0000,0.936,0.664,0.0030,-0.0341,0.0341
3.800,1480.02,270.32,25.30,320847.4604,4039046.5107,52,1.05,-90.0005,0.1199,0.0025,-0.0000,0.0000,0.936,0.664,0.0029,-0.0013,0.0013
3.912,1480.02,270.32,25.25,320847.4604,4039046.5107,52,1.36,-90.0005,0.1204,0.0023,-0.0000,0.0000,0.937,0.665,0.0038,0.0085,0.0000
4.195,1480.02,270.32,25.19,320847.4604,4039046.5107,52,2.64,-90.0006,0.1209,0.0019,-0.0000,0.0000,0.937,0.665,0.0073,0.0357,0.0000
4.229,1480.02,270.32,25.30,320847.4604,4039046.5107,52,12.18,-90.0005,0.1198,0.0031,-0.0000,0.0000,0.938,0.664,0.0338,0.2649,0.0000
4.289,1480.02,270.32,25.45,320847.4604,4039046.5107,52,15.90,-90.0005,0.1181,0.0034,-0.0000,0.0000,0.940,0.663,0.0442,0.1034,0.0000
4.322,1480.02,270.32,25.56,320847.4604,4039046.5107,52,12.43,-90.0005,0.1167,0.0034,-0.0000,0.0000,0.941,0.662,0.0345,-0.0965,0.0965
4.417,1480.02,270.32,25.57,320847.4604,4039046.5107,52,4.22,-90.0005,0.1172,0.0032,-0.0000,0.0000,0.941,0.662,0.0117,-0.2279,0.2279
4.512,1480.02,270.32,25.48,320847.4604,4039046.5107,52,2.14,-90.0005,0.1189,0.0033,-0.0000,0.0000,0.942,0.662,0.0059,-0.0579,0.0579
