Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw
1.402,980.12,-290.00,15.69,320842.4613,4039052.1139,52,0.00,0.0002
1.505,-199.59,-0.01,15.72,320830.6643,4039049.2140,52,0.01,179.9997
1.505,980.12,-290.00,15.69,320842.4614,4039052.1139,52,0.01,0.0002
1.604,-199.59,-0.01,15.69,320830.6642,4039049.2140,52,0.00,179.9997
1.604,980.12,-290.00,15.68,320842.4614,4039052.1139,52,0.01,0.0002
1.702,-199.59,-0.01,15.67,320830.6642,4039049.2140,52,0.00,179.9997
1.702,980.12,-290.00,15.67,320842.4614,4039052.1139,52,0.00,0.0002
1.808,-199.59,-0.01,15.66,320830.6642,4039049.2140,52,0.00,179.9997
1.808,980.12,-290.00,15.68,320842.4614,4039052.1139,52,0.02,0.0002
1.912,-199.59,-0.01,15.69,320830.6642,4039049.2140,52,0.01,179.9997
1.912,980.12,-290.00,15.70,320842.4614,4039052.1139,52,0.02,0.0002
2.018,-199.59,-0.01,15.71,320830.6642,4039049.2140,52,0.01,179.9997
2.018,980.12,-290.00,15.72,320842.4613,4039052.1139,52,0.00,0.0002
2.104,-199.59,-0.01,15.72,320830.6642,4039049.2140,52,0.00,179.9997
2.104,980.12,-290.00,15.73,320842.4613,4039052.1139,52,0.00,0.0002
2.211,-199.59,-0.01,15.74,320830.6642,4039049.2140,52,0.00,179.9997
2.211,980.12,-290.00,15.73,320842.4613,4039052.1139,52,0.00,0.0002
2.300,-199.59,-0.01,15.71,320830.6642,4039049.2140,52,0.00,179.9997
2.300,980.12,-290.00,15.70,320842.4613,4039052.1139,52,0.02,0.0002
2.412,-199.59,-0.01,15.66,320830.6642,4039049.2140,52,0.00,179.9997
2.412,980.12,-290.00,15.65,320842.4614,4039052.1139,52,0.01,0.0002
2.508,-199.59,-0.01,15.65,320830.6642,4039049.2140,52,0.00,179.9997
2.508,980.12,-290.00,15.65,320842.4614,4039052.1139,52,0.01,0.0002
2.602,-199.59,-0.01,15.65,320830.6642,4039049.2140,52,0.00,179.9997
2.602,980.12,-290.00,15.65,320842.4614,4039052.1139,52,0.00,0.0002
2.705,-199.59,-0.01,15.65,320830.6642,4039049.2140,52,0.00,179.9997
2.705,980.12,-290.00,15.66,320842.4614,4039052.1139,52,0.00,0.0002
2.804,-199.59,-0.01,15.65,320830.6642,4039049.2140,52,0.00,179.9997
2.804,980.12,-290.00,15.67,320842.4614,4039052.1139,52,0.01,0.0002
2.904,-199.59,-0.01,15.67,320830.6642,4039049.2140,52,0.01,179.9997
2.904,980.12,-290.00,15.68,320842.4614,4039052.1139,52,0.02,0.0002
3.013,-199.59,-0.01,15.74,320830.6642,4039049.2140,52,0.02,179.9997
3.013,980.12,-290.00,15.75,320842.4613,4039052.1139,52,0.00,0.0002
3.109,-199.59,-0.01,15.70,320830.6642,4039049.2140,52,0.01,179.9997
3.109,980.12,-290.00,15.71,320842.4613,4039052.1139,52,0.00,0.0002
3.211,-199.59,-0.01,15.70,320830.6642,4039049.2140,52,0.00,179.9997
3.211,980.12,-290.00,15.71,320842.4613,4039052.1139,52,0.00,0.0002
3.310,-199.59,-0.00,15.86,320830.6643,4039049.2140,52,0.04,179.9997
3.310,980.12,-290.00,15.86,320842.4613,4039052.1139,52,0.04,0.0002
3.402,-199.59,-0.00,15.85,320830.6643,4039049.2140,52,0.00,179.9997
3.402,980.11,-290.00,15.85,320842.4613,4039052.1139,52,0.00,0.0002
3.510,-199.59,-0.01,15.75,320830.6642,4039049.2140,52,0.01,179.9997
3.510,980.12,-290.00,15.75,320842.4613,4039052.1139,52,0.01,0.0002
3.602,-199.59,-0.01,15.75,320830.6642,4039049.2140,52,0.01,179.9997
3.602,980.12,-290.00,15.75,320842.4613,4039052.1139,52,0.01,0.0002
3.701,-199.59,-0.01,15.74,320830.6642,4039049.2140,52,0.01,179.9997
3.701,980.12,-290.00,15.74,320842.4614,4039052.1139,52,0.01,0.0002
3.813,-199.59,-0.00,15.79,320830.6642,4039049.2140,52,0.00,179.9997
3.813,980.12,-290.00,15.79,320842.4613,4039052.1139,52,0.00,0.0002
3.918,-199.59,-0.00,15.83,320830.6642,4039049.2140,52,0.01,179.9997
3.918,980.12,-290.00,15.83,320842.4613,4039052.1139,52,0.01,0.0002
4.005,-199.59,-0.00,15.84,320830.6642,4039049.2140,52,0.00,179.9997
4.005,980.12,-290.00,15.84,320842.4613,4039052.1139,52,0.00,0.0002
4.106,-199.59,-0.01,15.70,320830.6642,4039049.2140,52,0.05,179.9997
4.106,980.12,-290.00,15.70,320842.4614,4039052.1139,52,0.05,0.0002
4.202,-199.60,-0.01,15.63,320830.6642,4039049.2140,52,0.01,179.9997
4.202,980.12,-290.00,15.63,320842.4614,4039052.1139,52,0.01,0.0002
4.308,-199.60,-0.01,15.63,320830.6642,4039049.2140,52,0.00,179.9997
4.308,980.12,-290.00,15.63,320842.4614,4039052.1139,52,0.00,0.0002
4.400,-199.59,-0.01,15.71,320830.6642,4039049.2140,52,0.00,179.9997
4.400,980.12,-290.00,15.71,320842.4613,4039052.1139,52,0.00,0.0002
