Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw
0.409,-200.00,-0.00,91.91,320830.6602,4039049.2139,52,0.33,180.0000
0.409,980.09,-290.00,8.74,320842.4611,4039052.1139,52,0.05,-0.0000
0.431,-200.00,-0.00,90.51,320830.6602,4039049.2139,52,1.51,180.0000
0.431,980.11,-290.00,10.50,320842.4613,4039052.1140,52,1.90,0.0002
0.447,-200.00,-0.00,89.17,320830.6602,4039049.2139,52,2.26,180.0000
0.447,980.12,-290.00,11.94,320842.4614,4039052.1139,52,2.42,0.0001
0.467,-200.00,-0.00,87.92,320830.6602,4039049.2139,52,2.83,180.0000
0.467,980.12,-290.00,13.03,320842.4614,4039052.1139,52,2.46,0.0001
0.506,-200.00,-0.00,82.68,320830.6602,4039049.2139,52,4.50,180.0000
0.506,980.11,-290.00,15.80,320842.4612,4039052.1139,52,1.73,-0.0000
0.619,-200.00,-0.00,63.25,320830.6602,4039049.2139,52,8.21,180.0000
0.619,980.10,-290.00,16.88,320842.4612,4039052.1139,52,0.30,0.0002
0.702,-200.00,-0.00,38.79,320830.6602,4039049.2139,52,11.31,180.0000
0.702,980.12,-289.99,15.80,320842.4614,4039052.1138,52,0.39,0.0001
0.803,-199.93,0.00,8.92,320830.6608,4039049.2139,52,0.42,180.0000
0.803,980.12,-289.99,15.44,320842.4614,4039052.1138,52,0.03,0.0002
0.907,-199.64,0.00,14.85,320830.6638,4039049.2139,52,2.19,179.9998
0.907,980.11,-290.00,15.71,320842.4613,4039052.1139,52,0.09,0.0000
1.012,-199.57,-0.00,17.18,320830.6645,4039049.2139,52,0.11,179.9996
1.012,980.11,-290.00,15.74,320842.4613,4039052.1139,52,0.04,0.0002
1.104,-199.59,-0.00,15.97,320830.6642,4039049.2139,52,0.50,179.9996
1.104,980.12,-290.00,15.71,320842.4613,4039052.1139,52,0.00,0.0002
1.201,-199.61,-0.00,15.36,320830.6641,4039049.2139,52,0.09,179.9996
1.201,980.12,-290.00,15.68,320842.4613,4039052.1139,52,0.00,0.0002
1.316,-199.59,-0.00,15.66,320830.6643,4039049.2139,52,0.06,179.9996
1.316,980.12,-290.00,15.72,320842.4613,4039052.1139,52,0.03,0.0002
1.402,-199.59,-0.00,15.73,320830.6643,4039049.2140,52,0.00,179.9997
