Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.158,1480.00,270.00,90.10,320847.4602,4039046.5139,52,176.33,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.4898,0.0000,0.0000
0.209,1480.00,270.00,83.79,320847.4602,4039046.5139,52,412.65,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.063,0.063,1.1463,6.5645,0.0000
0.309,1480.00,270.00,66.62,320847.4602,4039046.5139,52,764.84,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.235,0.235,2.1245,9.7828,0.0000
0.409,1480.00,270.00,39.67,320847.4602,4039046.5139,52,1116.67,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.504,0.504,3.1019,9.7731,0.0000
0.509,1479.99,269.88,14.68,320847.4601,4039046.5151,52,219.61,-89.9998,0.1564,0.0087,-0.0000,0.0000,0.754,0.754,0.6100,-24.9183,24.9183
0.609,1480.00,270.00,24.01,320847.4602,4039046.5139,52,406.69,-90.0002,0.1227,0.0048,-0.0000,0.0000,0.847,0.661,1.1297,5.1968,0.0000
0.709,1480.00,270.25,29.56,320847.4602,4039046.5114,52,53.77,-90.0004,-0.0582,0.0015,-0.0000,0.0000,0.903,0.605,0.1494,-9.8034,9.8034
0.809,1480.01,270.24,25.79,320847.4603,4039046.5115,52,233.26,-90.0005,0.0451,0.0015,-0.0000,0.0000,0.941,0.643,0.6479,4.9858,0.0000
0.909,1480.01,270.21,23.85,320847.4603,4039046.5118,52,32.85,-90.0005,0.2613,0.0031,-0.0000,0.0000,0.960,0.662,0.0912,-5.5670,5.5670
1.009,1480.01,270.31,25.35,320847.4603,4039046.5108,52,37.46,-90.0005,0.0955,0.0019,-0.0000,0.0000,0.975,0.647,0.1041,0.1282,0.0000
1.109,1480.01,270.28,25.36,320847.4603,4039046.5111,52,15.55,-90.0005,0.1052,0.0017,-0.0000,0.0000,0.975,0.647,0.0432,-0.6085,0.6085
1.209,1480.02,270.27,25.07,320847.4604,4039046.5112,52,3.45,-90.0005,0.1296,0.0019,-0.0000,0.0000,0.978,0.650,0.0096,-0.3363,0.3363
1.309,1480.02,270.28,25.12,320847.4604,4039046.5111,52,0.00,-90.0005,0.1230,0.0019,-0.0000,0.0000,0.979,0.650,0.0000,-0.0957,0.0957
1.409,1480.02,270.28,25.15,320847.4604,4039046.5111,52,0.06,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.979,0.649,0.0002,0.0016,0.0000
1.509,1480.02,270.28,25.16,320847.4604,4039046.5111,52,0.01,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.979,0.649,0.0000,-0.0012,0.0012
1.609,1480.02,270.28,25.16,320847.4604,4039046.5111,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.979,0.649,0.0000,-0.0003,0.0003
1.709,1480.02,270.28,25.16,320847.4604,4039046.5111,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.979,0.649,0.0000,-0.0001,0.0001
