Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.115,1480.00,270.00,91.73,320847.4602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.201,1480.00,270.00,87.37,320847.4602,4039046.5139,52,293.83,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.044,0.044,0.8162,6.5290,0.0000
0.301,1480.00,270.00,71.61,320847.4602,4039046.5139,52,678.68,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.201,0.201,1.8852,10.6901,0.0000
0.401,1480.00,270.00,47.05,320847.4602,4039046.5139,52,1030.62,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.447,0.447,2.8628,9.7762,0.0000
0.501,1480.00,269.92,17.86,320847.4601,4039046.5147,52,637.73,-89.9999,0.1007,0.0055,-0.0000,0.0000,0.739,0.739,1.7715,-10.9135,10.9135
0.601,1480.00,269.93,21.65,320847.4601,4039046.5146,52,396.44,-90.0002,0.1792,0.0065,-0.0000,0.0000,0.777,0.701,1.1012,-6.7027,6.7027
0.701,1480.00,270.16,28.13,320847.4602,4039046.5123,52,87.90,-90.0006,-0.0152,0.0018,-0.0000,0.0000,0.841,0.636,0.2442,-8.5706,8.5706
0.801,1480.00,270.14,25.69,320847.4602,4039046.5125,52,149.54,-90.0007,0.0923,0.0019,-0.0000,0.0000,0.866,0.660,0.4154,1.7123,0.0000
0.901,1480.00,270.14,24.32,320847.4602,4039046.5125,52,17.16,-90.0008,0.1984,0.0026,-0.0000,0.0000,0.879,0.674,0.0477,-3.6772,3.6772
1.001,1480.00,270.20,25.26,320847.4602,4039046.5119,52,24.74,-90.0008,0.1056,0.0019,-0.0000,0.0000,0.889,0.665,0.0687,0.2105,0.0000
1.101,1480.01,270.18,25.29,320847.4602,4039046.5121,52,9.39,-90.0008,0.1119,0.0018,-0.0000,0.0000,0.889,0.664,0.0261,-0.4264,0.4264
1.201,1480.01,270.18,25.10,320847.4603,4039046.5121,52,2.49,-90.0008,0.1261,0.0019,-0.0000,0.0000,0.891,0.666,0.0069,-0.1917,0.1917
1.301,1480.01,270.18,25.13,320847.4603,4039046.5121,52,0.52,-90.0008,0.1222,0.0019,-0.0000,0.0000,0.891,0.666,0.0015,-0.0545,0.0545
1.401,1480.01,270.18,25.15,320847.4603,4039046.5121,52,0.13,-90.0008,0.1211,0.0019,-0.0000,0.0000,0.892,0.666,0.0004,-0.0110,0.0110
1.501,1480.01,270.18,25.16,320847.4603,4039046.5121,52,0.02,-90.0008,0.1211,0.0019,-0.0000,0.0000,0.892,0.666,0.0001,-0.0029,0.0029
