Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.116,0.00,270.00,91.73,320832.6602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.205,0.00,270.00,87.37,320832.6602,4039046.5139,52,293.83,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.044,0.044,0.8162,6.5290,0.0000
0.305,0.00,270.00,72.67,320832.6602,4039046.5139,52,660.80,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.191,0.191,1.8356,10.1936,0.0000
0.405,0.00,270.00,48.61,320832.6602,4039046.5139,52,1012.74,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.431,0.431,2.8132,9.7760,0.0000
0.505,-0.00,269.48,18.17,320832.6601,4039046.5191,52,805.08,-89.9999,0.6493,0.0047,-0.0000,0.0000,0.736,0.736,2.2363,-5.7683,5.7683
0.608,-0.00,269.88,21.06,320832.6601,4039046.5151,52,433.35,-90.0001,0.3564,0.0071,-0.0000,0.0000,0.765,0.707,1.2038,-10.3258,10.3258
0.708,0.00,270.43,28.63,320832.6602,4039046.5096,52,129.32,-90.0004,-0.3116,0.0023,-0.0000,0.0000,0.841,0.631,0.3592,-8.4453,8.4453
0.808,0.00,270.53,27.10,320832.6602,4039046.5086,52,151.94,-90.0005,-0.4692,0.0018,-0.0000,0.0000,0.856,0.646,0.4220,0.6282,0.0000
0.908,0.00,270.10,24.14,320832.6602,4039046.5129,52,29.09,-90.0006,0.2673,0.0029,-0.0000,0.0000,0.886,0.676,0.0808,-3.4123,3.4123
1.008,0.00,270.25,25.01,320832.6602,4039046.5114,52,41.82,-90.0005,0.1599,0.0022,-0.0000,0.0000,0.895,0.667,0.1162,0.3536,0.0000
1.108,0.01,270.27,25.39,320832.6602,4039046.5112,52,4.86,-90.0005,0.0914,0.0017,-0.0000,0.0000,0.899,0.663,0.0135,-1.0268,1.0268
1.208,0.01,270.24,25.13,320832.6603,4039046.5115,52,7.03,-90.0005,0.1235,0.0019,-0.0000,0.0000,0.901,0.666,0.0195,0.0603,0.0000
1.322,0.01,270.25,25.26,320832.6603,4039046.5114,52,17.60,-90.0005,0.1230,0.0032,-0.0000,0.0000,0.903,0.665,0.0489,0.2937,0.0000
1.409,0.01,270.25,25.42,320832.6603,4039046.5114,52,3.61,-90.0005,0.1166,0.0024,-0.0000,0.0000,0.904,0.663,0.0100,-0.3888,0.3888
1.509,0.01,270.25,25.13,320832.6603,4039046.5114,52,8.22,-90.0005,0.1229,0.0020,-0.0000,0.0000,0.907,0.666,0.0228,0.1283,0.0000
1.609,0.01,270.25,25.11,320832.6603,4039046.5114,52,2.68,-90.0005,0.1224,0.0019,-0.0000,0.0000,0.907,0.666,0.0075,-0.1539,0.1539
1.709,0.01,270.25,25.15,320832.6603,4039046.5114,52,0.79,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0022,-0.0525,0.0525
1.810,0.01,270.25,25.15,320832.6603,4039046.5114,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0220,0.0220
1.910,0.01,270.25,25.16,320832.6603,4039046.5114,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,0.0000,0.0000
2.010,0.01,270.25,25.16,320832.6603,4039046.5114,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
2.110,0.01,270.25,25.16,320832.6603,4039046.5114,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
2.210,0.01,270.25,25.16,320832.6603,4039046.5114,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
2.310,0.01,270.25,25.16,320832.6603,4039046.5114,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,-0.0000,0.0000
2.410,0.01,270.25,25.16,320832.6603,4039046.5114,52,0.00,-90.0005,0.1211,0.0019,-0.0000,0.0000,0.908,0.666,0.0000,0.0000,0.0000
2.517,0.01,270.25,25.39,320832.6603,4039046.5114,52,10.14,-90.0005,0.1184,0.0028,-0.0000,0.0000,0.910,0.663,0.0282,0.2816,0.0000
2.610,0.01,270.25,25.35,320832.6603,4039046.5114,52,6.02,-90.0005,0.1192,0.0024,-0.0000,0.0000,0.911,0.664,0.0167,-0.1144,0.1144
2.702,0.01,270.25,25.27,320832.6603,4039046.5114,52,0.15,-90.0005,0.1208,0.0024,-0.0000,0.0000,0.911,0.665,0.0004,-0.1631,0.1631
2.819,0.01,270.25,25.29,320832.6603,4039046.5114,52,0.14,-90.0005,0.1199,0.0024,-0.0000,0.0000,0.912,0.664,0.0004,-0.0004,0.0004
2.909,0.01,270.25,25.24,320832.6603,4039046.5114,52,2.02,-90.0005,0.1205,0.0021,-0.0000,0.0000,0.912,0.665,0.0056,0.0523,0.0000
3.090,0.01,270.25,25.23,320832.6603,4039046.5114,52,3.35,-90.0005,0.1206,0.0021,-0.0000,0.0000,0.912,0.665,0.0093,0.0370,0.0000
3.107,0.01,270.25,25.32,320832.6603,4039046.5114,52,10.46,-90.0005,0.1197,0.0031,-0.0000,0.0000,0.913,0.664,0.0290,0.1974,0.0000
3.202,0.01,270.25,25.32,320832.6603,4039046.5114,52,3.92,-90.0005,0.1193,0.0024,-0.0000,0.0000,0.913,0.664,0.0109,-0.1815,0.1815
3.301,0.01,270.25,25.55,320832.6603,4039046.5114,52,8.19,-90.0004,0.1172,0.0034,-0.0000,0.0000,0.916,0.662,0.0228,0.1187,0.0000
3.402,0.01,270.25,25.47,320832.6603,4039046.5114,52,15.15,-90.0005,0.1184,0.0026,-0.0000,0.0000,0.916,0.663,0.0421,0.1931,0.0000
3.501,0.01,270.25,25.48,320832.6603,4039046.5114,52,3.80,-90.0004,0.1188,0.0034,-0.0000,0.0000,0.916,0.662,0.0106,-0.3152,0.3152
3.630,0.01,270.25,25.54,320832.6603,4039046.5114,52,1.35,-90.0004,0.1177,0.0033,-0.0000,0.0000,0.917,0.662,0.0037,-0.0681,0.0681
3.734,0.01,270.25,25.27,320832.6603,4039046.5114,52,16.12,-90.0005,0.1215,0.0022,-0.0000,0.0000,0.920,0.665,0.0448,0.4103,0.0000
