Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.105,150.00,270.00,91.73,320834.1602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.202,150.00,270.00,87.37,320834.1602,4039046.5139,52,293.83,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.044,0.044,0.8162,6.5290,0.0000
0.306,150.00,270.00,70.98,320834.1602,4039046.5139,52,689.33,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.208,0.208,1.9148,10.9860,0.0000
0.406,150.00,270.00,45.64,320834.1602,4039046.5139,52,1046.83,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.461,0.461,2.9079,9.9304,0.0000
0.506,149.99,269.92,16.49,320834.1601,4039046.5147,52,584.29,-89.9999,0.1010,0.0060,-0.0000,0.0000,0.752,0.752,1.6230,-12.8482,12.8482
0.606,150.00,269.94,21.97,320834.1601,4039046.5145,52,430.05,-90.0003,0.1660,0.0064,-0.0000,0.0000,0.807,0.698,1.1946,-4.2845,4.2845
0.706,150.00,270.19,28.82,320834.1602,4039046.5121,52,100.47,-90.0007,-0.0229,0.0020,-0.0000,0.0000,0.876,0.629,0.2791,-9.1549,9.1549
0.806,150.00,270.29,26.06,320834.1602,4039046.5110,52,214.32,-90.0009,-0.0657,0.0010,-0.0000,0.0000,0.903,0.657,0.5953,3.1623,0.0000
0.906,150.00,270.19,23.95,320834.1602,4039046.5120,52,18.61,-90.0009,0.2038,0.0030,-0.0000,0.0000,0.924,0.678,0.0517,-5.4362,5.4362
1.006,150.01,270.27,25.27,320834.1602,4039046.5112,52,37.14,-90.0010,0.1213,0.0020,-0.0000,0.0000,0.938,0.665,0.1032,0.5146,0.0000
1.106,150.01,270.26,25.36,320834.1603,4039046.5113,52,12.53,-90.0010,0.1065,0.0017,-0.0000,0.0000,0.939,0.664,0.0348,-0.6837,0.6837
1.206,150.01,270.25,25.08,320834.1603,4039046.5114,52,4.15,-90.0010,0.1261,0.0019,-0.0000,0.0000,0.941,0.666,0.0115,-0.2328,0.2328
1.307,150.01,270.26,25.12,320834.1603,4039046.5113,52,0.00,-90.0009,0.1233,0.0019,-0.0000,0.0000,0.942,0.666,0.0000,-0.1152,0.1152
1.407,150.01,270.26,25.15,320834.1603,4039046.5113,52,0.07,-90.0010,0.1211,0.0019,-0.0000,0.0000,0.942,0.666,0.0002,0.0019,0.0000
1.521,150.01,270.26,25.25,320834.1603,4039046.5113,52,2.86,-90.0009,0.1201,0.0024,-0.0000,0.0000,0.943,0.665,0.0080,0.0776,0.0000
1.611,150.01,270.26,25.26,320834.1603,4039046.5113,52,2.50,-90.0009,0.1200,0.0021,-0.0000,0.0000,0.943,0.665,0.0070,-0.0100,0.0100
1.702,150.01,270.26,25.23,320834.1603,4039046.5113,52,0.00,-90.0009,0.1207,0.0024,-0.0000,0.0000,0.943,0.665,0.0000,-0.0696,0.0696
1.802,150.01,270.26,25.20,320834.1603,4039046.5113,52,1.05,-90.0009,0.1209,0.0020,-0.0000,0.0000,0.944,0.665,0.0029,0.0291,0.0000
1.902,150.01,270.26,25.16,320834.1603,4039046.5113,52,0.26,-90.0009,0.1211,0.0019,-0.0000,0.0000,0.944,0.666,0.0007,-0.0219,0.0219
2.002,150.01,270.26,25.16,320834.1603,4039046.5113,52,0.05,-90.0009,0.1211,0.0019,-0.0000,0.0000,0.944,0.666,0.0001,-0.0059,0.0059
2.102,150.01,270.26,25.16,320834.1603,4039046.5113,52,0.01,-90.0009,0.1211,0.0019,-0.0000,0.0000,0.944,0.666,0.0000,-0.0011,0.0011
2.202,150.01,270.26,25.16,320834.1603,4039046.5113,52,0.00,-90.0009,0.1211,0.0019,-0.0000,0.0000,0.944,0.666,0.0000,-0.0002,0.0002
2.302,150.01,270.26,25.16,320834.1603,4039046.5113,52,0.00,-90.0009,0.1211,0.0019,-0.0000,0.0000,0.944,0.666,0.0000,0.0000,0.0000
2.402,150.01,270.26,25.16,320834.1603,4039046.5113,52,0.00,-90.0009,0.1211,0.0019,-0.0000,0.0000,0.944,0.666,0.0000,-0.0000,0.0000
2.507,150.01,270.26,25.38,320834.1603,4039046.5113,52,11.52,-90.0009,0.1186,0.0028,-0.0000,0.0000,0.946,0.664,0.0320,0.3201,0.0000
2.606,150.01,270.26,25.40,320834.1603,4039046.5113,52,3.31,-90.0009,0.1186,0.0026,-0.0000,0.0000,0.947,0.663,0.0092,-0.2282,0.2282
2.706,150.01,270.26,25.32,320834.1603,4039046.5113,52,0.25,-90.0009,0.1202,0.0026,-0.0000,0.0000,0.947,0.664,0.0007,-0.0850,0.0850
2.812,150.01,270.26,25.33,320834.1603,4039046.5113,52,0.00,-90.0009,0.1196,0.0026,-0.0000,0.0000,0.947,0.664,0.0000,-0.0069,0.0069
3.090,150.01,270.26,25.28,320834.1603,4039046.5113,52,8.93,-90.0009,0.1203,0.0022,-0.0000,0.0000,0.948,0.664,0.0248,0.2481,0.0000
3.126,150.01,270.26,25.33,320834.1603,4039046.5113,52,5.35,-90.0009,0.1200,0.0032,-0.0000,0.0000,0.948,0.664,0.0149,-0.0994,0.0994
3.190,150.01,270.26,25.43,320834.1603,4039046.5113,52,11.13,-90.0009,0.1188,0.0034,-0.0000,0.0000,0.949,0.663,0.0309,0.1605,0.0000
3.227,150.01,270.26,25.53,320834.1603,4039046.5113,52,10.39,-90.0009,0.1175,0.0034,-0.0000,0.0000,0.950,0.662,0.0289,-0.0205,0.0205
3.342,150.01,270.26,25.50,320834.1603,4039046.5113,52,15.06,-90.0009,0.1178,0.0026,-0.0000,0.0000,0.951,0.662,0.0418,0.1298,0.0000
3.414,150.01,270.26,25.45,320834.1603,4039046.5113,52,0.78,-90.0009,0.1193,0.0035,-0.0000,0.0000,0.951,0.663,0.0022,-0.3969,0.3969
3.528,150.01,270.26,25.56,320834.1603,4039046.5113,52,3.19,-90.0009,0.1174,0.0035,-0.0000,0.0000,0.952,0.662,0.0089,0.0672,0.0000
